#Table1
objid,ra,dec,u,g,r,i,z,class,redshift
1237654669735231608,149.142427582929,-0.372420381624902,19.76743,17.8756,16.90248,16.45606,16.12213,GALAXY,0.09193386
1237651801233686770,149.117935930583,0.183975807079761,18.20582,16.46298,15.49704,14.9591,14.60985,GALAXY,0.06580772
1237651800696881217,149.156197858338,-0.315230860877946,19.78793,18.33921,17.48833,17.07277,16.74467,GALAXY,0.08532704
1237654670272102476,149.128103838194,0.0836209458775903,20.33225,18.35458,17.40644,16.95075,16.59546,GALAXY,0.08811073
1237651801233752148,149.153997354566,0.172473222554795,19.67747,18.19364,17.51096,17.09774,16.89891,GALAXY,0.07903931
1237651799622811816,148.453342619878,-1.13326972213885,20.21217,18.5075,17.74256,17.39947,17.10883,GALAXY,0.0934706
1237650794610426064,148.530782487672,-1.20539104151775,20.65723,18.49998,17.35856,16.87355,16.44346,GALAXY,0.1351453
1237650794610426072,148.542437352053,-1.19457709498586,18.98131,16.71054,15.57147,15.10434,14.73785,GALAXY,0.1383956
1237651799622877713,148.547608964039,-1.08812084198317,22.31915,20.93771,19.20139,18.54775,18.19291,GALAXY,0.37413
1237650794610360503,148.410859855082,-1.23339741191404,20.42515,18.62438,17.46617,16.98105,16.6262,GALAXY,0.1631444
1237648720143188098,148.432503364382,-1.02642035923546,18.45333,17.02572,16.25337,15.74728,15.45469,GALAXY,0.1102809
1237650794610426069,148.535600619875,-1.17865332691904,20.44453,18.63487,17.51471,17.04441,16.69853,GALAXY,0.1426428
1237648720143188043,148.526410573493,-0.971684465011256,18.49726,17.37068,16.97899,16.84624,16.80118,STAR,0.0004589118
1237648720143188224,148.5090682336,-1.00351936725159,20.13283,18.51081,17.6551,17.19413,16.86082,GALAXY,0.09160395
1237648720143187986,148.428863736398,-0.863283429925534,18.93689,19.07687,18.73114,18.69877,18.70723,QSO,1.301314
1237650795147296996,148.559253348494,-0.760206655180081,19.57957,18.15129,17.20229,16.75426,16.41478,GALAXY,0.1530428
1237650795147231560,148.414399022146,-0.720751210625099,19.88779,19.73297,19.25949,19.25278,19.26127,QSO,1.385627
1237651799622811803,148.4399090562,-1.07022807728941,19.736,18.04652,17.12402,16.71679,16.44502,GALAXY,0.08978253
1237650795147296771,148.440580389963,-0.803513635148513,19.40764,17.38,16.43666,15.99801,15.66864,GALAXY,0.08706105
1237648720143188148,148.508654837189,-0.892229022411282,18.51839,16.59866,15.65194,15.256,14.92037,GALAXY,0.09035492
1237651799622811838,148.494924688725,-1.08090754548081,19.40336,18.00626,17.25695,16.76447,16.47479,GALAXY,0.1101958
1237650795147296897,148.504456815978,-0.791651965971306,18.82881,17.82464,17.4402,17.12334,17.00879,GALAXY,0.0891128
1237650795147296891,148.500065613274,-0.74541974015549,20.48701,18.39242,17.35221,16.88667,16.503,GALAXY,0.1375618
1237650795147296855,148.454023974555,-0.795927773894005,18.88648,17.77011,17.185,16.75783,16.58471,GALAXY,0.08940861
1237648720680321254,149.069458381291,-0.554990015186292,19.83659,17.81128,16.81396,16.37988,16.0288,GALAXY,0.08851489
1237651800696815824,149.069371310344,-0.234000391318522,20.43903,18.45961,17.52044,17.10772,16.79318,GALAXY,0.0887442
1237651800696815831,149.090206729947,-0.251427074082198,17.74933,16.50113,15.89778,15.60806,15.32293,GALAXY,0.02139691
1237654669735166231,149.105306592207,-0.367428145985335,20.24663,18.22563,17.28766,16.86633,16.50354,GALAXY,0.0908874
1237648721217192172,149.048527676997,-0.0776536924191584,26.19676,19.76321,18.218,17.68095,17.51762,GALAXY,0.3784135
1237648721217192199,149.062686383358,-0.0291918022548227,18.56549,17.29849,16.68588,16.31239,16.0597,GALAXY,0.06383968
1237648721217257621,149.16987755671,-0.0233313956488212,19.39238,17.45203,16.29842,15.80721,15.45848,GALAXY,0.1391702
1237651801233752162,149.175359456192,0.19212510867601,20.24795,18.49268,17.5906,17.15585,16.87628,GALAXY,0.08846774
1237654669735231591,149.135472935166,-0.346289461160055,20.44502,18.38054,17.40388,16.97338,16.63283,GALAXY,0.09080971
1237648721217257601,149.154579472032,-0.115701998585716,20.21775,18.57749,17.59203,17.09925,16.76351,GALAXY,0.1668876
1237654669735231661,149.171531959813,-0.412973664066079,20.07657,18.0579,17.12612,16.69116,16.35472,GALAXY,0.08546617
1237648720680386797,149.149917105534,-0.490024753382519,19.43965,17.78131,16.93354,16.52804,16.23983,GALAXY,0.08809023
1237651800696881166,149.191287125011,-0.259532831930187,18.77877,17.31129,16.69901,16.41263,16.1776,GALAXY,0.07061857
1237648720680321130,149.112651889328,-0.475619098890281,19.33666,17.4771,16.43731,15.93744,15.61362,GALAXY,0.08669478
1237651800696881250,149.186327928749,-0.311807074508784,19.84366,17.93677,16.91524,16.47619,16.08408,GALAXY,0.08834462
1237654669735231493,149.112976728624,-0.348835110589183,19.85774,17.85831,16.90128,16.40494,16.07113,GALAXY,0.08976489
1237654669735231507,149.12383110491,-0.398271827174791,20.31423,18.27644,17.31802,16.89034,16.54486,GALAXY,0.08709911
1237651800696816420,149.125541771443,-0.306961013008019,22.37233,21.40325,19.62605,18.79141,18.32188,GALAXY,0.470219
